Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10-Oct-25  09:24:52 RP,T026: seenut,st  :,,Demand,ed : Page,1,,
seenutst,,,,,,,,
Category: All Act,ivity,,,,,,,
Event location: O,n-Line,,,,,,,
Asset: *,,,,,,,,
Source: *,,,,,,,,
Description:,,,,,,,,
Operator:,,,,,,,,
Period: 09-Oct-25,08:24:52,to  10-Oct-25  09:,24:52,,,,,
Event file  1: 19,-Sep-25  06:,20:07  to  10-Oct-,25  09:,24:51,,,,
Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10/9/2025 8:58:46.837,260MHS4427,ChOfSt,,J 00,PU401C S OIL,HTR HE02          STOPPE,D,
10/9/2025 9:00:11.408,250MHS4431,ChOfSt,,J 00,PU-407B S/OI,L CLR AX-02        STOPPE,D,
10/9/2025 9:01:49.454,250TI4801,PVLOW,,H 00,EE402 ELEC S,HELTER #2          12.946,°C,
10/9/2025 9:02:42.048,250MHS4407,ChOfSt,,J 00,PU-404B S/OI,L CLR AX-01        STOPPE,D,
10/9/2025 9:02:45.699,260MHS4415,ChOfSt,,J 00,PU402B S OIL,CLR AX01          STOPPE,D,
10/9/2025 9:03:29.647,250MHS4416,ChOfSt,,J 00,PU-405B S/OI,L HTR HE-02        STOPPE,D,
10/9/2025 9:03:45.435,260MHS4406,ChOfSt,,J 00,PU401B S OIL,CLR AX02          RUNNIN,G,
10/9/2025 9:03:56.799,260MHS4436,ChOfSt,,J 00,PU402B S OIL,HTR HE01          RUNNIN,G,
10/9/2025 9:04:39.801,250TI4801,PVLOW,ACK,NONE,EE402 ELEC S,HELTER #2,,Gary Cruz
10/9/2025 9:04:48.146,250MHS4482,ChOfSt,,J 00,PU-403B L/OI,L CLR AX-01        RUNNIN,G,
10/9/2025 9:05:04.714,480MHS4412,ChOfSt,,J 00,480PU403B SE,AL OIL COOLER      RUNNIN,G,
10/9/2025 9:05:09.401,STATION 9,DISPLAY C~,,,270l4003.htm,0.422,sec,Dinesh Ba~
10/9/2025 9:05:27.345,250MHS4411,ChOfSt,,J 00,PU-405A S/OI,L CLR AX-02        RUNNIN,G,
10/9/2025 9:05:44.643,250MHS4474,ChOfSt,,J 00,PU-402B L/OI,L CLR AX-01        RUNNIN,G,
10/9/2025 9:05:46.745,260MHS4429,ChOfSt,,J 00,PU402A S OIL,HTR HE01          RUNNIN,G,
10-Oct-25  09:24:52 RP,T026: seenut,st  :,,Demand,ed : Page,4,,
Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10/9/2025 9:05:49.912,270LX4021A,CHANGE,,NONE,EXECSTATE,INACTI,VE,ASEEXP1\D~
10/9/2025 9:05:50.303,270LX4021A,INACTV,,J 00,VE401 DENSIT,Y LVL,,
10/9/2025 9:06:05.368,270LX4021D,CHANGE,,NONE,EXECSTATE,INACTI,VE,ASEEXP1\D~
10/9/2025 9:06:05.451,270LX4021D,INACTV,,J 00,VE401 DENSIT,Y LVL,,
10/9/2025 9:06:09.099,250MHS4778,ChOfSt,,J 00,PU-411A S/OI,L HTR HE-02        STOPPE,D,
10/9/2025 9:06:23.163,270LX4021C,CHANGE,,NONE,EXECSTATE,INACTI,VE,ASEEXP1\D~
10/9/2025 9:06:23.400,270LX4021C,INACTV,,J 00,VE401 DENSIT,Y LVL,,
10/9/2025 9:06:31.217,270LX4021B,CHANGE,,NONE,EXECSTATE,INACTI,VE,ASEEXP1\D~
10/9/2025 9:06:31.349,270LX4021B,INACTV,,J 00,VE401 DENSIT,Y LVL,,
10/9/2025 9:06:40.201,STATION 9,DISPLAY C~,,,270l4003.htm,91.157,sec,Dinesh Ba~
10/9/2025 9:07:32.636,250MHS4474,ChOfSt,,J 00,PU-402B L/OI,L CLR AX-01        STOPPE,D,
10/9/2025 9:08:01.678,270MHS4312,ChOfSt,,J 00,PU406B WW PM,P ST/SP            RUNNIN,G,
10/9/2025 9:08:42.671,270LX4021A,CHANGE,,NONE,270DT4021.PT,EXECST             Inacti,ve,ASEEXP1\D~
10/9/2025 9:09:04.063,270LX4021A,DELETE,,NONE,SUCCESS,,,ASEEXP1\D~
10/9/2025 9:09:04.163,270LX4021B,DELETE,,NONE,SUCCESS,,,ASEEXP1\D~
10/9/2025 9:09:04.213,270LX4021C,DELETE,,NONE,SUCCESS,,,ASEEXP1\D~
10/9/2025 9:09:04.263,270LX4021D,DELETE,,NONE,SUCCESS,,,ASEEXP1\D~
10/9/2025 9:09:08.601,270LX4021A,DISABL,,,VE401 DENSIT,Y LVL,,
10/9/2025 9:09:08.601,270LX4021A,MSGALM,,J 00,Point Delete,d,,Dinesh Ba~
10/9/2025 9:09:08.601,270LX4021B,DISABL,,,VE401 DENSIT,Y LVL,,
10/9/2025 9:09:08.701,270LX4021B,MSGALM,,J 00,Point Delete,d,,Dinesh Ba~
10/9/2025 9:09:08.701,270LX4021C,DISABL,,,VE401 DENSIT,Y LVL,,
10/9/2025 9:09:08.701,270LX4021C,MSGALM,,J 00,Point Delete,d,,Dinesh Ba~
10/9/2025 9:09:08.701,270LX4021D,DISABL,,,VE401 DENSIT,Y LVL,,
10/9/2025 9:09:08.801,270LX4021D,MSGALM,,J 00,Point Delete,d,,Dinesh Ba~
10/9/2025 9:09:09.176,270LX4021A,DELETE,,NONE,SUCCESS,,,ASEEXP1\D~
10/9/2025 9:09:09.176,270LX4021B,DELETE,,NONE,SUCCESS,,,ASEEXP1\D~
10/9/2025 9:09:09.176,270LX4021C,DELETE,,NONE,SUCCESS,,,ASEEXP1\D~
10/9/2025 9:09:09.176,270LX4021D,DELETE,,NONE,SUCCESS,,,ASEEXP1\D~
10/9/2025 9:09:10.501,File Repli,cation REPLICATI~,,J 00,Filerep #11,replicating.,,
10/9/2025 9:09:12.501,File Repli,cation REPLICATI~,,J 00,Filerep #2 r,eplicating.,,
10/9/2025 9:09:37.394,250MHS4782,ChOfSt,,J 00,PU-411B S/OI,L HTR HE-02        RUNNIN,G,
10/9/2025 9:09:46.423,260MHS4406,ChOfSt,,J 00,PU401B S OIL,CLR AX02          STOPPE,D,
10/9/2025 9:09:56.447,250MHS4423,ChOfSt,,J 00,PU-406B S/OI,L CLR AX-01        RUNNIN,G,
10/9/2025 9:10:19.141,250MHS4482,ChOfSt,,J 00,PU-403B L/OI,L CLR AX-01        STOPPE,D,
10/9/2025 9:10:45.731,260MHS4423,ChOfSt,,J 00,PU401A S OIL,HTR HE02          RUNNIN,G,
10/9/2025 9:10:53.782,260MHS4425,ChOfSt,,J 00,PU401B S OIL,HTR HE02          RUNNIN,G,
10/9/2025 9:11:04.457,250TI4801,PVLOW,OK,H 00,EE402 ELEC S,HELTER #2          13.580,4    °C,
10/9/2025 9:11:05.001,STATION 9,DISPLAY C~,,,sysdtldevctl,a_do_density_fp.h~ 0.157,sec,Dinesh Ba~
10/9/2025 9:11:06.799,260MHS4436,ChOfSt,,J 00,PU402B S OIL,HTR HE01          STOPPE,D,
